bidx	ep	loss_act_b	loss_reg_b	loss_actor_b	loss_critic_b	loss_all
3	58	0.0009049539221450686	0.008563438430428505	-1.2651855945587158	0.6969236135482788	-0.5587935447692871
4	58	0.000753978849388659	0.007622628007084131	-1.317121982574463	0.8370382189750671	-0.47170716524124146
5	58	0.0008584255119785666	0.00901191309094429	-1.327453851699829	1.0459352731704712	-0.2716482877731323
6	58	0.0012809850741177797	0.01003212295472622	-2.511833429336548	1.170883059501648	-1.3296371698379517
7	58	0.0015571434050798416	0.011070853099226952	-2.4712588787078857	1.021419644355774	-1.4372111558914185
8	58	0.002202250063419342	0.010548533871769905	-2.90771222114563	1.6284688711166382	-1.266492486000061
9	58	0.0025234499480575323	0.010457225143909454	-2.4694316387176514	1.7458770275115967	-0.7105739116668701
10	58	0.004405028186738491	0.010192565619945526	-1.5681170225143433	0.5832507610321045	-0.970268726348877
11	58	0.011251785792410374	0.008161177858710289	-0.501262903213501	0.7371485829353333	0.2552986443042755
12	58	0.034258097410202026	0.009666018187999725	0.3435620069503784	1.0414626598358154	1.4289487600326538
13	58	0.00991338212043047	0.0070122238248586655	1.2891837358474731	0.9779854416847229	2.28409481048584
14	58	0.011971108615398407	0.006931017152965069	1.8232306241989136	0.850523829460144	2.6926565170288086
15	58	0.020834175869822502	0.008057640865445137	2.1580758094787598	0.8678922653198242	3.0548598766326904
0	59	0.026147350668907166	0.007955772802233696	2.173649787902832	1.3130298852920532	3.520782947540283
1	59	0.02702161855995655	0.0075477552600204945	2.193756341934204	1.0545638799667358	3.2828893661499023
2	59	0.016129961237311363	0.007322516292333603	2.1347463130950928	1.0875674486160278	3.2457661628723145
3	59	0.012501722201704979	0.007080073934048414	2.0847995281219482	0.9354292750358582	3.0398106575012207
4	59	0.009883394464850426	0.00676792673766613	1.9052982330322266	0.8465589880943298	2.7685084342956543
5	59	0.008788454346358776	0.006179329939186573	1.6889320611953735	0.8927606344223022	2.596660614013672
